Technology	Energy output [GWh/y]
NUCLEAR	27402.749
HYDRO_DAM_EXISTING	16564.646
HYDRO_DAM	902.035
HYDRO_RIVER_EXISTING	16105.920
IND_BOILER_OIL	2067.213
IND_BOILER_WASTE	9132.787
IND_HEATER_ELEC	2800.000
DEC_HP_ELEC	35595.000
DEC_THERMAL_HP_GAS	8326.316
DEC_BOILER_GAS	20149.684
DEC_BOILER_OIL	7119.000
H2_ELECTROLYSIS	3507.662
H2_FROM_GAS	2972.338
PYROLYSIS	6807.474

Resource	Energy consumption [GWh/y]
ELECTRICITY	1124.204
GASOLINE	7800.000
DIESEL	842.526
OIL	3825.537
NG	36547.990
WOOD	10211.210
URANIUM	73987.423
WASTE	11142.000

Mobility	Total transport [Mpkm/y] or [Mtkm/y]
CAR_GASOLINE	15000.000
CAR_DIESEL	15000.000
CAR_PHEV	7500.000
CAR_BEV	22500.000
CAR_FC	15000.000
BUS_NG	15000.000
TRAIN_PUBLIC	35000.000
TRAIN_FREIGHT	14000.000
TRUCK_FREIGHT_FC	21000.000
