Technology	GWP_construction [ktCO2-eq/y]
CCGT_CCS	73.520000
COAL_IGCC_CCS	7.951258
PV	524.400000
WIND	165.055250
HYDRO_DAM_EXISTING	0.000000
HYDRO_DAM	18.623000
HYDRO_RIVER_EXISTING	0.000000
HYDRO_RIVER	26.838750
GEOTHERMAL_ELEC	115.010000
IND_BOILER_OIL	0.540535
IND_BOILER_WASTE	2.716895
IND_HEATER_ELEC	0.063752
DHN_HP_ELEC	9.493135
DHN_BOILER_GAS	0.416867
DHN_GEOTHERMAL	26.115849
DEC_HP_ELEC	130.613534
DEC_BOILER_GAS	7.078375
DEC_BOILER_OIL	3.539187
THERMAL_SOLAR	110.600000
DEC_HEATER_ELEC	0.304271
H2_ELECTROLYSIS	0.024474
PYROLYSIS	0.000000

Storage technology	GWP_construction [ktCO2-eq/y]
HYDRO_STORAGE	0.000000
P2G_STORAGE	0.403619

Resource	GWP_op [ktCO2-eq/y]
GASOLINE	2730.000000
DIESEL	59.202572
OIL	1074.466266
NG_CCS	3518.235000
WOOD	147.348000
COAL_CCS	150.822616
WASTE	1498.634409
