Technology	C_inv [MCHF/y]	C_maint [MCHF/y]
CCGT_CCS	748.680766	302.000000
COAL_IGCC_CCS	243.574696	62.020295
PV	1282.696583	285.000000
WIND	883.696670	174.900000
HYDRO_DAM_EXISTING	0.000000	195.051200
HYDRO_DAM	67.717942	1.271600
HYDRO_RIVER_EXISTING	0.000000	204.820000
HYDRO_RIVER	225.288389	64.855000
GEOTHERMAL_ELEC	420.879312	325.500000
IND_BOILER_OIL	3.631187	0.941322
IND_BOILER_WASTE	15.190061	3.931507
IND_HEATER_ELEC	19.248715	1.026412
DHN_HP_ELEC	29.400878	17.378737
DHN_BOILER_GAS	2.800418	0.725959
DHN_GEOTHERMAL	82.309403	58.218195
DEC_HP_ELEC	554.174644	320.791276
DEC_BOILER_GAS	74.608352	29.085076
DEC_BOILER_OIL	33.514266	25.948450
THERMAL_SOLAR	741.807191	100.000000
DEC_HEATER_ELEC	11.053220	0.578115
H2_ELECTROLYSIS	186.474246	58.272274
PYROLYSIS	164.492461	139.845253

Storage technology	C_inv [MCHF/y]	C_maint [MCHF/y]
HYDRO_STORAGE	0.000000	0.000000
P2G_STORAGE	593.444752	0.000000

Resource	C_op [MCHF/y]
GASOLINE	702.000000
DIESEL	16.650723
OIL	242.621415
NG_CCS	5212.200000
WOOD	736.740000
COAL_CCS	86.723004
WASTE	0.000000
