Technology [GW]	1	2	3	4	5	6	7	8	9	10	11	12
CCGT_CCS	10.000000	10.000000	10.000000	9.623608	6.515345	4.720856	6.333549	5.153212	9.803360	10.000000	10.000000	10.000000
COAL_IGCC_CCS	0.839246	0.839246	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.839246
PV	0.750000	1.350000	1.800000	2.250000	2.250000	2.400000	2.400000	2.400000	1.950000	1.350000	0.750000	0.600000
WIND	1.696000	1.484000	1.484000	0.954000	0.901000	0.742000	0.795000	0.742000	0.848000	1.484000	1.643000	1.802000
HYDRO_DAM_EXISTING	2.020000	2.020000	1.535200	1.292800	1.696800	2.262400	2.181600	2.100800	2.343200	1.696800	1.696800	1.858400
HYDRO_DAM	0.110000	0.110000	0.083600	0.070400	0.092400	0.123200	0.118800	0.114400	0.127600	0.092400	0.092400	0.101200
HYDRO_RIVER_EXISTING	1.140000	0.988000	1.178000	1.672000	2.356000	2.926000	2.926000	2.698000	2.090000	1.406000	1.330000	1.292000
HYDRO_RIVER	0.255000	0.221000	0.263500	0.374000	0.527000	0.654500	0.654500	0.603500	0.467500	0.314500	0.297500	0.289000
GEOTHERMAL_ELEC	0.700000	0.700000	0.700000	0.000000	0.429032	0.700000	0.000000	0.700000	0.700000	0.700000	0.700000	0.700000
IND_BOILER_OIL	0.000000	0.000000	0.000000	0.510110	0.747081	0.747081	0.747081	0.747081	0.608444	0.000000	0.000000	0.000000
IND_BOILER_WASTE	1.598174	1.598174	1.598174	0.450540	0.213570	0.213570	0.213570	0.213570	0.352207	1.598174	1.598174	1.598174
IND_HEATER_ELEC	0.000000	0.000000	0.000000	0.637523	0.637523	0.637523	0.637523	0.637523	0.637523	0.000000	0.000000	0.000000
DHN_HP_ELEC	1.052111	1.033920	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.014153	1.357714
DHN_BOILER_GAS	0.000000	0.000000	0.542773	0.401106	0.085316	0.085316	0.085316	0.085316	0.295842	0.124934	0.576158	0.000000
DHN_GEOTHERMAL	0.968689	0.968689	0.968689	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.877191	0.968689	0.968689
DEC_HP_ELEC	9.650830	9.258555	6.467132	0.834672	0.000000	0.000000	0.000000	0.000000	0.200707	4.083435	7.208277	11.301048
DEC_BOILER_GAS	3.455568	3.424462	2.584600	0.685890	0.145890	0.145890	0.145890	0.145890	0.505890	1.713632	2.665890	3.978148
DEC_BOILER_OIL	1.727784	1.712231	1.292300	0.342945	0.072945	0.072945	0.072945	0.072945	0.252945	0.856816	1.332945	1.989074
THERMAL_SOLAR	0.600000	0.900000	1.200000	1.200000	0.432779	0.432779	0.432779	0.432779	1.300000	1.000000	0.700000	0.500000
DEC_HEATER_ELEC	1.843658	1.827062	1.378968	0.365945	0.077837	0.077837	0.077837	0.077837	0.269909	0.914279	1.422339	2.122472
