Technology	GWP_construction [ktCO2-eq/y]
CCGT_CCS	11.899806
HYDRO_DAM_EXISTING	0.000000
HYDRO_DAM	18.623000
HYDRO_RIVER_EXISTING	0.000000
IND_BOILER_OIL	0.568372
IND_BOILER_COAL	0.636918
IND_BOILER_WASTE	2.335008
DEC_HP_ELEC	130.613534
DEC_THERMAL_HP_GAS	63.683009
DEC_BOILER_GAS	10.017349
DEC_BOILER_OIL	3.539187
H2_FROM_GAS	0.000000
PYROLYSIS	0.000000

Storage technology	GWP_construction [ktCO2-eq/y]
HYDRO_STORAGE	0.000000

Resource	GWP_op [ktCO2-eq/y]
ELECTRICITY	4837.727897
GASOLINE	2730.000000
OIL	1103.063946
NG	10961.398884
NG_CCS	421.338980
WOOD	147.348000
COAL	864.274826
WASTE	1671.300000
