Technology	C_inv [MCHF/y]	C_maint [MCHF/y]
CCGT_CCS	292.129170	117.837954
HYDRO_DAM_EXISTING	0.000000	195.051200
HYDRO_DAM	67.717942	1.271600
HYDRO_RIVER_EXISTING	0.000000	204.820000
HYDRO_RIVER	225.288389	64.855000
IND_BOILER_OIL	3.818192	0.989799
IND_BOILER_WASTE	15.190061	3.931507
IND_HEATER_ELEC	17.594463	0.938201
DEC_HP_ELEC	554.174644	320.791276
DEC_THERMAL_HP_GAS	77.077291	33.717477
DEC_BOILER_GAS	92.188722	35.938549
DEC_BOILER_OIL	33.514266	25.948450
THERMAL_SOLAR	193.195487	26.043895
DEC_HEATER_ELEC	0.037636	0.001968
H2_FROM_GAS	145.185290	59.178082
PYROLYSIS	164.492461	139.845253

Storage technology	C_inv [MCHF/y]	C_maint [MCHF/y]
HYDRO_STORAGE	0.000000	0.000000

Resource	C_op [MCHF/y]
GASOLINE	702.000000
OIL	249.078956
NG	1510.393145
NG_CCS	1212.775173
WOOD	736.740000
WASTE	0.000000
