Technology [GW]	1	2	3	4	5	6	7	8	9	10	11	12
NUCLEAR	10.000000	10.000000	10.000000	7.584437	4.637762	3.318747	3.358234	4.597640	8.199525	10.000000	10.000000	10.000000
WIND	0.917398	0.802723	0.802723	0.516036	0.487368	0.401362	0.430030	0.401362	0.458699	0.802723	0.888729	0.974735
HYDRO_DAM_EXISTING	2.020000	2.020000	1.535200	1.292800	1.696800	2.262400	2.181600	2.100800	2.343200	1.696800	1.696800	1.858400
HYDRO_DAM	0.110000	0.110000	0.083600	0.070400	0.092400	0.123200	0.118800	0.114400	0.127600	0.092400	0.092400	0.101200
HYDRO_RIVER_EXISTING	1.140000	0.988000	1.178000	1.672000	2.356000	2.926000	2.926000	2.698000	2.090000	1.406000	1.330000	1.292000
IND_BOILER_OIL	0.000000	0.000000	0.000000	0.576594	0.627775	0.627775	0.627775	0.627775	0.627775	0.015143	0.000000	0.000000
IND_BOILER_WASTE	1.598174	1.598174	1.598174	0.384056	0.332875	0.332875	0.332875	0.332875	0.332875	1.583031	1.598174	1.598174
IND_HEATER_ELEC	0.000000	0.000000	0.000000	0.637523	0.637523	0.637523	0.637523	0.637523	0.637523	0.000000	0.000000	0.000000
DHN_HP_ELEC	0.884692	0.866502	0.375355	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.422893	0.905441
DHN_BOILER_GAS	0.000000	0.000000	0.000000	0.401106	0.085316	0.085316	0.085316	0.085316	0.295842	0.940425	0.000000	0.284854
DHN_GEOTHERMAL	1.136108	1.136108	1.136108	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.061699	1.136108	1.136108
DEC_HP_ELEC	9.116249	8.948682	6.608192	1.506839	0.000000	0.000000	0.000000	0.000000	0.995227	4.324118	6.966588	10.548289
DEC_BOILER_GAS	3.455568	3.424462	2.584600	0.685890	0.145890	0.145890	0.145890	0.145890	0.505890	1.713632	2.665890	3.978148
DEC_BOILER_OIL	1.727784	1.712231	1.292300	0.342945	0.072945	0.072945	0.072945	0.072945	0.252945	0.856816	1.332945	1.989074
THERMAL_SOLAR	0.167987	0.251981	0.335975	0.335975	0.391971	0.391971	0.391971	0.391971	0.363973	0.279979	0.195985	0.139990
DEC_HEATER_ELEC	2.810251	2.784954	2.101934	0.557802	0.118646	0.118646	0.118646	0.118646	0.411417	1.393617	2.168043	3.235241
H2_ELECTROLYSIS	1.002283	1.002283	1.002283	1.002283	1.002283	1.002283	1.002283	1.002283	1.002283	1.002283	1.002283	1.002283
PYROLYSIS	1.027397	1.027397	1.027397	1.027397	0.764073	0.764073	0.764073	0.764073	0.976473	1.027397	1.027397	1.027397

Resource [GW]
GASOLINE	0.890411	0.890411	0.890411	0.890411	0.890411	0.890411	0.890411	0.890411	0.890411	0.890411	0.890411	0.890411
DIESEL	0.000000	0.000000	0.000000	0.000000	0.263325	0.263325	0.263325	0.263325	0.050925	0.000000	0.000000	0.000000
OIL	1.011388	0.993035	0.497517	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.545478	1.319710
NG	3.318693	3.801153	0.450469	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	3.117551	5.172123
WOOD	1.541096	1.541096	1.541096	1.541096	1.146109	1.146109	1.146109	1.146109	1.464709	1.541096	1.541096	1.541096
URANIUM	27.000000	27.000000	27.000000	20.477981	12.521957	8.960617	9.067232	12.413628	22.138717	27.000000	27.000000	27.000000
WASTE	1.949772	1.949772	1.949772	0.468549	0.406108	0.406108	0.406108	0.406108	0.406108	1.931298	1.949772	1.949772

Mobility [Mpkm/h] or [Mtkm/h]
CAR_GASOLINE	1.712329	1.712329	1.712329	1.712329	1.712329	1.712329	1.712329	1.712329	1.712329	1.712329	1.712329	1.712329
CAR_DIESEL	1.712329	1.712329	1.712329	1.712329	1.712329	1.712329	1.712329	1.712329	1.712329	1.712329	1.712329	1.712329
CAR_PHEV	0.856164	0.856164	0.856164	0.856164	0.856164	0.856164	0.856164	0.856164	0.856164	0.856164	0.856164	0.856164
CAR_BEV	2.568493	2.568493	2.568493	2.568493	2.568493	2.568493	2.568493	2.568493	2.568493	2.568493	2.568493	2.568493
CAR_FC	1.712329	1.712329	1.712329	1.712329	1.712329	1.712329	1.712329	1.712329	1.712329	1.712329	1.712329	1.712329
BUS_DIESEL	0.570776	0.570776	0.570776	0.570776	0.570776	0.570776	0.570776	0.570776	0.570776	0.570776	0.570776	0.570776
BUS_FC	1.141553	1.141553	1.141553	1.141553	1.141553	1.141553	1.141553	1.141553	1.141553	1.141553	1.141553	1.141553
TRAIN_PUBLIC	3.995434	3.995434	3.995434	3.995434	3.995434	3.995434	3.995434	3.995434	3.995434	3.995434	3.995434	3.995434
TRAIN_FREIGHT	1.598174	1.598174	1.598174	1.598174	1.598174	1.598174	1.598174	1.598174	1.598174	1.598174	1.598174	1.598174
TRUCK_FREIGHT_FC	2.397260	2.397260	2.397260	2.397260	2.397260	2.397260	2.397260	2.397260	2.397260	2.397260	2.397260	2.397260
