Technology [GW]	1	2	3	4	5	6	7	8	9	10	11	12
NUCLEAR	4.328919	4.328919	4.328919	4.087088	2.295399	0.890378	0.958534	2.859424	4.328919	4.328919	4.328919	4.328919
HYDRO_DAM_EXISTING	2.020000	2.020000	1.535200	1.292800	1.696800	2.262400	2.181600	2.100800	2.343200	1.696800	1.696800	1.858400
HYDRO_DAM	0.110000	0.110000	0.083600	0.070400	0.092400	0.123200	0.118800	0.114400	0.127600	0.092400	0.092400	0.101200
HYDRO_RIVER_EXISTING	1.140000	0.988000	1.178000	1.672000	2.356000	2.926000	2.926000	2.698000	2.090000	1.406000	1.330000	1.292000
IND_BOILER_OIL	0.000000	0.000000	0.000000	0.561452	0.648757	0.648757	0.648757	0.648757	0.648757	0.000000	0.000000	0.000000
IND_BOILER_WASTE	1.598174	1.598174	1.598174	0.399199	0.311893	0.311893	0.311893	0.311893	0.311893	1.598174	1.598174	1.598174
IND_HEATER_ELEC	0.000000	0.000000	0.000000	0.637523	0.637523	0.637523	0.637523	0.637523	0.637523	0.000000	0.000000	0.000000
DHN_GEOTHERMAL	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
DEC_HP_ELEC	8.638920	8.561155	6.461500	1.714726	0.364726	0.364726	0.364726	0.364726	1.264726	4.284081	6.664726	9.945371
DEC_THERMAL_HP_GAS	2.020800	2.002609	1.511462	0.401106	0.085316	0.085316	0.085316	0.085316	0.295842	1.002124	1.559000	2.326403
DEC_BOILER_GAS	4.517839	4.440178	3.288132	0.765810	0.024226	0.012113	0.000000	0.012113	0.514577	2.155329	3.456686	5.224169
DEC_BOILER_OIL	1.727784	1.712231	1.292300	0.342945	0.072945	0.072945	0.072945	0.072945	0.252945	0.856816	1.332945	1.989074
THERMAL_SOLAR	0.072678	0.109016	0.145355	0.145355	0.169581	0.181694	0.193807	0.181694	0.157468	0.121129	0.084790	0.060565
DEC_HEATER_ELEC	0.299820	0.297121	0.224251	0.059511	0.012658	0.012658	0.012658	0.012658	0.043893	0.148682	0.231304	0.345161
H2_ELECTROLYSIS	0.000000	0.000000	0.000000	0.739726	0.739726	0.739726	0.739726	0.739726	0.739726	0.591618	0.000000	0.000000
H2_FROM_GAS	0.739726	0.739726	0.739726	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.148108	0.739726	0.739726
PYROLYSIS	1.011043	1.011043	1.011043	1.011043	0.786733	0.786733	0.786733	0.786733	0.999133	1.011043	1.011043	1.011043

Resource [GW]
GASOLINE	0.890411	0.890411	0.890411	0.890411	0.890411	0.890411	0.890411	0.890411	0.890411	0.890411	0.890411	0.890411
DIESEL	0.000000	0.000000	0.000000	0.000000	0.224310	0.224310	0.224310	0.224310	0.011910	0.000000	0.000000	0.000000
OIL	1.027742	1.009389	0.513871	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.561832	1.336065
NG	7.725231	7.626839	6.019000	1.491448	0.456711	0.443265	0.429820	0.443265	1.142054	3.633481	6.237946	8.714011
WOOD	1.516565	1.516565	1.516565	1.516565	1.180100	1.180100	1.180100	1.180100	1.498700	1.516565	1.516565	1.516565
URANIUM	11.688081	11.688081	11.688081	11.035137	6.197578	2.404021	2.588041	7.720446	11.688081	11.688081	11.688081	11.688081
WASTE	1.949772	1.949772	1.949772	0.487023	0.380510	0.380510	0.380510	0.380510	0.380510	1.949772	1.949772	1.949772

Mobility [Mpkm/h] or [Mtkm/h]
CAR_GASOLINE	1.712329	1.712329	1.712329	1.712329	1.712329	1.712329	1.712329	1.712329	1.712329	1.712329	1.712329	1.712329
CAR_DIESEL	1.712329	1.712329	1.712329	1.712329	1.712329	1.712329	1.712329	1.712329	1.712329	1.712329	1.712329	1.712329
CAR_PHEV	0.856164	0.856164	0.856164	0.856164	0.856164	0.856164	0.856164	0.856164	0.856164	0.856164	0.856164	0.856164
CAR_BEV	2.568493	2.568493	2.568493	2.568493	2.568493	2.568493	2.568493	2.568493	2.568493	2.568493	2.568493	2.568493
CAR_FC	1.712329	1.712329	1.712329	1.712329	1.712329	1.712329	1.712329	1.712329	1.712329	1.712329	1.712329	1.712329
BUS_DIESEL	0.510205	0.510205	0.510205	0.510205	0.510205	0.510205	0.510205	0.510205	0.510205	0.510205	0.510205	0.510205
BUS_NG	1.202124	1.202124	1.202124	1.202124	1.202124	1.202124	1.202124	1.202124	1.202124	1.202124	1.202124	1.202124
TRAIN_PUBLIC	3.995434	3.995434	3.995434	3.995434	3.995434	3.995434	3.995434	3.995434	3.995434	3.995434	3.995434	3.995434
TRAIN_FREIGHT	1.598174	1.598174	1.598174	1.598174	1.598174	1.598174	1.598174	1.598174	1.598174	1.598174	1.598174	1.598174
TRUCK_FREIGHT_FC	2.397260	2.397260	2.397260	2.397260	2.397260	2.397260	2.397260	2.397260	2.397260	2.397260	2.397260	2.397260
