Technology	C_inv [MCHF/y]	C_maint [MCHF/y]
CCGT_CCS	356.132040	143.655188
HYDRO_DAM_EXISTING	0.000000	195.051200
HYDRO_DAM	67.717942	1.271600
HYDRO_RIVER_EXISTING	0.000000	204.820000
HYDRO_RIVER	225.288389	64.855000
IND_BOILER_OIL	3.818192	0.989799
IND_BOILER_WASTE	15.190061	3.931507
IND_HEATER_ELEC	11.007546	0.586962
DEC_HP_ELEC	554.174644	320.791276
DEC_THERMAL_HP_GAS	77.077291	33.717477
DEC_BOILER_GAS	74.608352	29.085076
DEC_BOILER_OIL	33.514266	25.948450
THERMAL_SOLAR	193.195487	26.043895
DEC_HEATER_ELEC	4.919307	0.257294
H2_ELECTROLYSIS	17.096418	5.342545
H2_FROM_GAS	131.192037	53.474378
PYROLYSIS	164.492461	139.845253

Storage technology	C_inv [MCHF/y]	C_maint [MCHF/y]
HYDRO_STORAGE	0.000000	0.000000

Resource	C_op [MCHF/y]
GASOLINE	702.000000
OIL	249.078956
NG	1328.205809
NG_CCS	1546.156766
WOOD	736.740000
WASTE	0.000000
