Technology	GWP_construction [ktCO2-eq/y]
NUCLEAR	139.692718
HYDRO_DAM_EXISTING	0.000000
HYDRO_DAM	18.623000
HYDRO_RIVER_EXISTING	0.000000
IND_BOILER_OIL	0.454214
IND_BOILER_WASTE	2.716895
IND_HEATER_ELEC	0.049836
DHN_HP_ELEC	2.330411
DHN_BOILER_GAS	0.212274
DHN_GEOTHERMAL	3.503672
DEC_HP_ELEC	130.613534
DEC_THERMAL_HP_GAS	42.970664
DEC_BOILER_GAS	7.078375
DEC_BOILER_OIL	3.539187
THERMAL_SOLAR	11.521819
DEC_HEATER_ELEC	0.304711
H2_ELECTROLYSIS	0.024474
PYROLYSIS	0.000000

Storage technology	GWP_construction [ktCO2-eq/y]
HYDRO_STORAGE	0.000000

Resource	GWP_op [ktCO2-eq/y]
GASOLINE	2730.000000
DIESEL	260.480000
OIL	981.011545
NG	5441.404906
WOOD	147.348000
URANIUM	505.319646
WASTE	1549.716290
