Technology	C_inv [MCHF/y]	C_maint [MCHF/y]
CCGT_CCS	441.540453	178.106909
WIND	883.696670	174.900000
HYDRO_DAM_EXISTING	0.000000	195.051200
HYDRO_DAM	67.717942	1.271600
HYDRO_RIVER_EXISTING	0.000000	204.820000
HYDRO_RIVER	225.288389	64.855000
IND_BOILER_OIL	3.051303	0.790997
IND_BOILER_WASTE	15.190061	3.931507
IND_HEATER_ELEC	15.527313	0.827973
DHN_HP_ELEC	5.906614	3.491375
DHN_BOILER_GAS	1.857662	0.481566
DHN_GEOTHERMAL	28.101113	19.876175
DEC_HP_ELEC	554.174644	320.791276
DEC_THERMAL_HP_GAS	44.420283	19.431662
DEC_BOILER_GAS	74.608352	29.085076
DEC_BOILER_OIL	33.514266	25.948450
THERMAL_SOLAR	207.690454	27.997902
DEC_HEATER_ELEC	9.866092	0.516025
H2_ELECTROLYSIS	186.474246	58.272274
PYROLYSIS	164.492461	139.845253

Storage technology	C_inv [MCHF/y]	C_maint [MCHF/y]
HYDRO_STORAGE	0.000000	0.000000

Resource	C_op [MCHF/y]
GASOLINE	702.000000
DIESEL	73.260000
OIL	221.518736
NG	791.247781
NG_CCS	2210.683313
WOOD	736.740000
WASTE	0.000000
