Storage level [GWh]	1	2	3	4	5	6	7	8	9	10	11	12
HYDRO_STORAGE	594.521270	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	1778.976000	2400.000000	2400.000000	1469.849226
P2G_STORAGE	0.000000	0.000000	289.385523	629.485272	487.843556	342.976863	185.227414	35.531831	213.976099	682.573703	682.573703	0.000000

Exchanged power [GW]
ELEC_TO_HYDRO	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	2.470800	0.834710	0.000000	0.000000
HYDRO_TO_ELEC	1.176516	0.884704	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	1.250203
POWER_TO_GAS	0.839781	0.507516	0.839781	0.839781	0.839781	0.839781	0.839781	0.839781	0.839781	0.839781	0.717290	0.269656
GAS_TO_POWER	0.472388	0.285485	0.180662	0.118109	0.615176	0.623295	0.631414	0.623295	0.286504	0.000000	0.403486	0.839781
