Technology	C_inv [MCHF/y]	C_maint [MCHF/y]
NUCLEAR	272.794734	129.493142
HYDRO_DAM_EXISTING	0.000000	195.051200
HYDRO_DAM	67.717942	1.271600
HYDRO_RIVER_EXISTING	0.000000	204.820000
IND_BOILER_OIL	2.053610	0.532362
IND_BOILER_COAL	1.329089	0.343996
IND_BOILER_WASTE	13.860971	3.587511
IND_HEATER_ELEC	15.697422	0.837044
DEC_HP_ELEC	554.174644	320.791276
DEC_THERMAL_HP_GAS	77.077291	33.717477
DEC_BOILER_GAS	105.586089	41.161335
DEC_BOILER_OIL	33.514266	25.948450
H2_FROM_GAS	145.185290	59.178082
PYROLYSIS	132.200818	112.392123

Storage technology	C_inv [MCHF/y]	C_maint [MCHF/y]
HYDRO_STORAGE	0.000000	0.000000

Resource	C_op [MCHF/y]
ELECTRICITY	863.238382
GASOLINE	702.000000
DIESEL	96.390000
OIL	267.787558
NG	1648.527242
WOOD	592.110000
COAL	30.935194
URANIUM	70.917089
WASTE	0.000000
