Technology	C_inv [MCHF/y]	C_maint [MCHF/y]
CCGT_CCS	297.366710	119.950653
HYDRO_DAM_EXISTING	0.000000	195.051200
HYDRO_DAM	67.717942	1.271600
HYDRO_RIVER_EXISTING	0.000000	204.820000
HYDRO_RIVER	49.437834	14.231940
IND_BOILER_GAS	1.970745	0.510881
IND_BOILER_OIL	3.818192	0.989799
IND_BOILER_WASTE	11.336298	2.934072
DEC_HP_ELEC	554.174644	320.791276
DEC_THERMAL_HP_GAS	77.077291	33.717477
DEC_BOILER_GAS	100.582992	39.210944
DEC_BOILER_OIL	33.514266	25.948450
THERMAL_SOLAR	72.330273	9.750549
H2_FROM_GAS	145.185290	59.178082
PYROLYSIS	164.492461	139.845253

Storage technology	C_inv [MCHF/y]	C_maint [MCHF/y]
HYDRO_STORAGE	0.000000	0.000000

Resource	C_op [MCHF/y]
GASOLINE	702.000000
OIL	249.078956
NG	1658.028566
NG_CCS	1274.367833
WOOD	736.740000
WASTE	0.000000
