Technology	C_inv [MCHF/y]	C_maint [MCHF/y]
CCGT_CCS	418.999077	169.014254
HYDRO_DAM_EXISTING	0.000000	195.051200
HYDRO_DAM	67.717942	1.271600
HYDRO_RIVER_EXISTING	0.000000	204.820000
HYDRO_RIVER	225.288389	64.855000
IND_BOILER_OIL	3.818192	0.989799
IND_BOILER_WASTE	15.190061	3.931507
IND_HEATER_ELEC	9.645364	0.514326
DEC_HP_ELEC	554.174644	320.791276
DEC_THERMAL_HP_GAS	77.077291	33.717477
DEC_BOILER_GAS	74.608352	29.085076
DEC_BOILER_OIL	33.514266	25.948450
THERMAL_SOLAR	193.195487	26.043895
DEC_HEATER_ELEC	4.919307	0.257294
H2_ELECTROLYSIS	91.912923	28.722331
H2_FROM_GAS	48.223674	19.656155
PYROLYSIS	164.492461	139.845253

Storage technology	C_inv [MCHF/y]	C_maint [MCHF/y]
HYDRO_STORAGE	0.000000	0.000000

Resource	C_op [MCHF/y]
GASOLINE	702.000000
OIL	249.078956
NG	1131.201132
NG_CCS	2025.568262
WOOD	736.740000
WASTE	0.000000
