Technology [GW]	1	2	3	4	5	6	7	8	9	10	11	12
CCGT_CCS	5.596498	5.596498	5.596498	3.110741	0.797917	0.000000	0.000000	0.000000	2.302500	5.596498	5.596498	5.596498
HYDRO_DAM_EXISTING	2.020000	2.020000	1.535200	1.292800	1.696800	2.262400	2.181600	2.100800	2.343200	1.696800	1.696800	1.858400
HYDRO_DAM	0.110000	0.110000	0.083600	0.070400	0.092400	0.123200	0.118800	0.114400	0.127600	0.092400	0.092400	0.101200
HYDRO_RIVER_EXISTING	1.140000	0.988000	1.178000	1.672000	2.356000	2.926000	2.926000	2.698000	2.090000	1.406000	1.330000	1.292000
HYDRO_RIVER	0.255000	0.221000	0.263500	0.374000	0.527000	0.654500	0.654500	0.603500	0.467500	0.314500	0.297500	0.289000
IND_BOILER_OIL	0.000000	0.000000	0.000000	0.490555	0.785555	0.785555	0.785555	0.785555	0.588888	0.000000	0.000000	0.000000
IND_BOILER_WASTE	1.598174	1.598174	1.423008	0.788161	0.493161	0.493161	0.493161	0.493161	0.689828	1.278716	1.598174	1.598174
IND_HEATER_ELEC	0.000000	0.000000	0.175166	0.319457	0.319457	0.319457	0.319457	0.319457	0.319457	0.319457	0.000000	0.000000
DEC_HP_ELEC	9.096892	8.935467	6.608393	1.524118	0.026044	0.000000	0.000000	0.000000	1.016079	4.328245	6.956288	10.522278
DEC_THERMAL_HP_GAS	2.020800	2.002609	1.511462	0.401106	0.085316	0.085316	0.085316	0.085316	0.295842	1.002124	1.559000	2.326403
DEC_BOILER_GAS	3.455568	3.424462	2.584600	0.685890	0.145890	0.145890	0.145890	0.145890	0.505890	1.713632	2.665890	3.978148
DEC_BOILER_OIL	1.727784	1.712231	1.292300	0.342945	0.072945	0.072945	0.072945	0.072945	0.252945	0.856816	1.332945	1.989074
THERMAL_SOLAR	0.156263	0.234395	0.312527	0.312527	0.364615	0.390658	0.390658	0.390658	0.338571	0.260439	0.182307	0.130219
DEC_HEATER_ELEC	0.820532	0.813146	0.613719	0.162866	0.034642	0.034642	0.034642	0.034642	0.120125	0.406906	0.633021	0.944620
H2_ELECTROLYSIS	0.454026	0.454026	0.454026	0.574447	0.454026	0.574447	0.454942	0.574447	0.574447	0.454026	0.454026	0.454026
H2_FROM_GAS	0.285700	0.285700	0.285700	0.165279	0.285700	0.165279	0.284784	0.165279	0.165279	0.285700	0.285700	0.285700
PYROLYSIS	0.934475	0.934475	0.934475	0.934475	0.934475	0.934475	0.934475	0.934475	0.934475	0.934475	0.934475	0.934475

Resource [GW]
GASOLINE	0.890411	0.890411	0.890411	0.890411	0.890411	0.890411	0.890411	0.890411	0.890411	0.890411	0.890411	0.890411
OIL	1.104310	1.085958	0.590439	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.076568	0.638400	1.412633
NG	6.030167	5.983452	4.722136	1.710471	1.059651	0.899492	1.058433	0.899492	1.440144	3.414106	4.844219	6.814985
NG_CCS	9.793872	9.793872	9.793872	5.443796	1.396355	0.000000	0.000000	0.000000	4.029376	9.793872	9.793872	9.793872
WOOD	1.401712	1.401712	1.401712	1.401712	1.401712	1.401712	1.401712	1.401712	1.401712	1.401712	1.401712	1.401712
WASTE	1.949772	1.949772	1.736070	0.961557	0.601657	0.601657	0.601657	0.601657	0.841590	1.560034	1.949772	1.949772

Mobility [Mpkm/h] or [Mtkm/h]
CAR_GASOLINE	1.712329	1.712329	1.712329	1.712329	1.712329	1.712329	1.712329	1.712329	1.712329	1.712329	1.712329	1.712329
CAR_DIESEL	1.712329	1.712329	1.712329	1.712329	1.712329	1.712329	1.712329	1.712329	1.712329	1.712329	1.712329	1.712329
CAR_PHEV	0.856164	0.856164	0.856164	0.856164	0.856164	0.856164	0.856164	0.856164	0.856164	0.856164	0.856164	0.856164
CAR_BEV	2.568493	2.568493	2.568493	2.568493	2.568493	2.568493	2.568493	2.568493	2.568493	2.568493	2.568493	2.568493
CAR_FC	1.712329	1.712329	1.712329	1.712329	1.712329	1.712329	1.712329	1.712329	1.712329	1.712329	1.712329	1.712329
BUS_DIESEL	0.226619	0.226619	0.226619	0.226619	0.226619	0.226619	0.226619	0.226619	0.226619	0.226619	0.226619	0.226619
BUS_NG	1.485709	1.485709	1.485709	1.485709	1.485709	1.485709	1.485709	1.485709	1.485709	1.485709	1.485709	1.485709
TRAIN_PUBLIC	3.995434	3.995434	3.995434	3.995434	3.995434	3.995434	3.995434	3.995434	3.995434	3.995434	3.995434	3.995434
TRAIN_FREIGHT	1.598174	1.598174	1.598174	1.598174	1.598174	1.598174	1.598174	1.598174	1.598174	1.598174	1.598174	1.598174
TRUCK_FREIGHT_FC	2.397260	2.397260	2.397260	2.397260	2.397260	2.397260	2.397260	2.397260	2.397260	2.397260	2.397260	2.397260
