Technology	C_inv [MCHF/y]	C_maint [MCHF/y]
NUCLEAR	934.020222	443.370779
HYDRO_DAM_EXISTING	0.000000	195.051200
HYDRO_DAM	67.717942	1.271600
HYDRO_RIVER_EXISTING	0.000000	204.820000
IND_BOILER_OIL	3.738378	0.969109
IND_BOILER_WASTE	15.190061	3.931507
IND_HEATER_ELEC	12.670985	0.675663
DEC_HP_ELEC	554.174644	320.791276
DEC_THERMAL_HP_GAS	77.077291	33.717477
DEC_BOILER_GAS	105.586089	41.161335
DEC_BOILER_OIL	33.514266	25.948450
H2_ELECTROLYSIS	118.358050	36.986301
H2_FROM_GAS	124.859350	50.893151
PYROLYSIS	161.370709	137.191258

Storage technology	C_inv [MCHF/y]	C_maint [MCHF/y]
HYDRO_STORAGE	0.000000	0.000000

Resource	C_op [MCHF/y]
GASOLINE	702.000000
OIL	254.501470
NG	1437.799220
WOOD	722.758084
URANIUM	224.366360
WASTE	0.000000
