Technology	C_inv [MCHF/y]	C_maint [MCHF/y]
CCGT_CCS	695.448611	280.527416
PV	1282.696583	285.000000
WIND	883.696670	174.900000
HYDRO_DAM_EXISTING	0.000000	195.051200
HYDRO_DAM	67.717942	1.271600
HYDRO_RIVER_EXISTING	0.000000	204.820000
HYDRO_RIVER	225.288389	64.855000
GEOTHERMAL_ELEC	420.879312	325.500000
IND_BOILER_OIL	3.051303	0.790997
IND_BOILER_WASTE	15.190061	3.931507
IND_HEATER_ELEC	16.460350	0.877726
DHN_HP_ELEC	16.138360	9.539318
DHN_BOILER_GAS	3.052587	0.791330
DHN_GEOTHERMAL	80.985158	57.281545
DEC_HP_ELEC	554.174644	320.791276
DEC_BOILER_GAS	74.608352	29.085076
DEC_BOILER_OIL	33.514266	25.948450
THERMAL_SOLAR	741.807191	100.000000
DEC_HEATER_ELEC	11.053220	0.578115
H2_ELECTROLYSIS	186.474246	58.272274
PYROLYSIS	164.492461	139.845253

Storage technology	C_inv [MCHF/y]	C_maint [MCHF/y]
HYDRO_STORAGE	0.000000	0.000000
P2G_STORAGE	255.988158	0.000000

Resource	C_op [MCHF/y]
GASOLINE	702.000000
DIESEL	73.260000
OIL	221.518736
NG	231.187445
NG_CCS	3771.263008
WOOD	736.740000
WASTE	0.000000
