Technology [GW]	1	2	3	4	5	6	7	8	9	10	11	12
CCGT_CCS	5.519535	5.519535	4.674973	1.240741	0.000000	0.000000	0.000000	0.000000	0.000000	3.442486	5.519535	5.519535
PV	0.671158	1.208084	1.610779	2.013474	2.013474	2.147705	2.147705	2.147705	1.745011	1.208084	0.671158	0.536926
WIND	1.696000	1.484000	1.484000	0.954000	0.901000	0.742000	0.795000	0.742000	0.848000	1.484000	1.643000	1.802000
HYDRO_DAM_EXISTING	2.020000	2.020000	1.535200	1.292800	1.696800	2.262400	2.181600	2.100800	2.343200	1.696800	1.696800	1.858400
HYDRO_DAM	0.110000	0.110000	0.083600	0.070400	0.092400	0.123200	0.118800	0.114400	0.127600	0.092400	0.092400	0.101200
HYDRO_RIVER_EXISTING	1.140000	0.988000	1.178000	1.672000	2.356000	2.926000	2.926000	2.698000	2.090000	1.406000	1.330000	1.292000
HYDRO_RIVER	0.255000	0.221000	0.263500	0.374000	0.527000	0.654500	0.654500	0.603500	0.467500	0.314500	0.297500	0.289000
GEOTHERMAL_ELEC	0.700000	0.700000	0.700000	0.700000	0.700000	0.000000	0.429032	0.000000	0.700000	0.700000	0.700000	0.700000
IND_BOILER_OIL	0.000000	0.000000	0.000000	0.576594	0.627775	0.627775	0.627775	0.627775	0.627775	0.015143	0.000000	0.000000
IND_BOILER_WASTE	1.598174	1.598174	1.598174	1.021579	0.131021	0.131021	0.131021	0.131021	0.522958	1.583031	1.598174	1.598174
IND_HEATER_ELEC	0.000000	0.000000	0.000000	0.000000	0.839378	0.839378	0.839378	0.839378	0.447441	0.000000	0.000000	0.000000
DHN_HP_ELEC	0.643779	0.643779	0.643779	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.221560	0.643779	0.643779
DHN_BOILER_GAS	0.596457	0.578267	0.087120	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.134658	0.902060
DHN_GEOTHERMAL	0.780564	0.780564	0.780564	0.401106	0.085316	0.085316	0.085316	0.085316	0.295842	0.780564	0.780564	0.780564
DEC_HP_ELEC	9.650830	9.258555	6.467132	0.834672	0.000000	0.000000	0.000000	0.000000	0.200707	4.083435	7.208277	11.301048
DEC_BOILER_GAS	3.455568	3.424462	2.584600	0.685890	0.145890	0.145890	0.145890	0.145890	0.505890	1.713632	2.665890	3.978148
DEC_BOILER_OIL	1.727784	1.712231	1.292300	0.342945	0.072945	0.072945	0.072945	0.072945	0.252945	0.856816	1.332945	1.989074
THERMAL_SOLAR	0.600000	0.900000	1.200000	1.200000	0.432779	0.432779	0.432779	0.432779	1.300000	1.000000	0.700000	0.500000
DEC_HEATER_ELEC	1.843658	1.827062	1.378968	0.365945	0.077837	0.077837	0.077837	0.077837	0.269909	0.914279	1.422339	2.122472
H2_ELECTROLYSIS	1.002283	1.002283	1.002283	1.002283	1.002283	1.002283	1.002283	1.002283	1.002283	1.002283	1.002283	1.002283
PYROLYSIS	1.027397	1.027397	1.027397	1.027397	0.764073	0.764073	0.764073	0.764073	0.976473	1.027397	1.027397	1.027397

Resource [GW]
GASOLINE	0.890411	0.890411	0.890411	0.890411	0.890411	0.890411	0.890411	0.890411	0.890411	0.890411	0.890411	0.890411
DIESEL	0.000000	0.000000	0.000000	0.000000	0.263325	0.263325	0.263325	0.263325	0.050925	0.000000	0.000000	0.000000
OIL	1.011388	0.993035	0.497517	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.545478	1.319710
NG	4.479854	4.185234	2.566272	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	1.312054	3.314334	5.142887
NG_CCS	9.659186	9.659186	8.181202	2.171296	0.000000	0.000000	0.000000	0.000000	0.000000	6.024350	9.659186	9.659186
WOOD	1.541096	1.541096	1.541096	1.541096	1.146109	1.146109	1.146109	1.146109	1.464709	1.541096	1.541096	1.541096
WASTE	1.949772	1.949772	1.949772	1.246327	0.159845	0.159845	0.159845	0.159845	0.638008	1.931298	1.949772	1.949772

Mobility [Mpkm/h] or [Mtkm/h]
CAR_GASOLINE	1.712329	1.712329	1.712329	1.712329	1.712329	1.712329	1.712329	1.712329	1.712329	1.712329	1.712329	1.712329
CAR_DIESEL	1.712329	1.712329	1.712329	1.712329	1.712329	1.712329	1.712329	1.712329	1.712329	1.712329	1.712329	1.712329
CAR_PHEV	0.856164	0.856164	0.856164	0.856164	0.856164	0.856164	0.856164	0.856164	0.856164	0.856164	0.856164	0.856164
CAR_BEV	2.568493	2.568493	2.568493	2.568493	2.568493	2.568493	2.568493	2.568493	2.568493	2.568493	2.568493	2.568493
CAR_FC	1.712329	1.712329	1.712329	1.712329	1.712329	1.712329	1.712329	1.712329	1.712329	1.712329	1.712329	1.712329
BUS_DIESEL	0.570776	0.570776	0.570776	0.570776	0.570776	0.570776	0.570776	0.570776	0.570776	0.570776	0.570776	0.570776
BUS_FC	1.141553	1.141553	1.141553	1.141553	1.141553	1.141553	1.141553	1.141553	1.141553	1.141553	1.141553	1.141553
TRAIN_PUBLIC	3.995434	3.995434	3.995434	3.995434	3.995434	3.995434	3.995434	3.995434	3.995434	3.995434	3.995434	3.995434
TRAIN_FREIGHT	1.598174	1.598174	1.598174	1.598174	1.598174	1.598174	1.598174	1.598174	1.598174	1.598174	1.598174	1.598174
TRUCK_FREIGHT_FC	2.397260	2.397260	2.397260	2.397260	2.397260	2.397260	2.397260	2.397260	2.397260	2.397260	2.397260	2.397260
