Storage level [GWh]	1	2	3	4	5	6	7	8	9	10	11	12
HYDRO_STORAGE	462.954902	0.000000	0.000000	0.000000	190.061365	914.862878	1950.193951	2400.000000	2400.000000	2400.000000	2400.000000	689.318342
P2G_STORAGE	0.000000	0.000000	72.720384	406.269155	303.876116	204.786078	102.393039	0.000000	189.335834	406.269155	38.888327	0.000000

Exchanged power [GW]
ELEC_TO_HYDRO	0.000000	0.000000	0.000000	0.000000	0.255459	1.006669	1.391574	0.604578	0.000000	0.000000	0.000000	0.000000
HYDRO_TO_ELEC	0.304252	0.688921	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	2.299303
POWER_TO_GAS	0.000000	0.954699	1.188069	1.188069	1.188069	1.188069	1.188069	1.188069	1.188069	1.188069	1.188069	1.188069
GAS_TO_POWER	0.000000	0.537031	0.594997	0.320850	0.771527	0.771527	0.771527	0.771527	0.471076	0.449618	1.051004	0.707509
