Storage level [GWh]	1	2	3	4	5	6	7	8	9	10	11	12
HYDRO_STORAGE	509.930647	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	621.024000	2400.000000	2400.000000	2293.100916	1078.610543
P2G_STORAGE	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000

Exchanged power [GW]
ELEC_TO_HYDRO	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.834710	2.470800	0.000000	0.000000	0.000000
HYDRO_TO_ELEC	0.764355	0.758825	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.148471	1.632380
POWER_TO_GAS	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
GAS_TO_POWER	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
