Technology	C_inv [MCHF/y]	C_maint [MCHF/y]
NUCLEAR	2317.298057	1100.000000
CCGT_CCS	38.341820	15.466178
WIND	883.696670	174.900000
HYDRO_DAM_EXISTING	0.000000	195.051200
HYDRO_DAM	67.717942	1.271600
HYDRO_RIVER_EXISTING	0.000000	204.820000
HYDRO_RIVER	195.752498	56.352342
IND_BOILER_OIL	3.051303	0.790997
IND_BOILER_WASTE	15.190061	3.931507
IND_HEATER_ELEC	19.248715	1.026412
DHN_HP_ELEC	19.249983	11.378585
DHN_BOILER_GAS	4.470090	1.158792
DHN_GEOTHERMAL	96.173022	68.024060
DEC_HP_ELEC	554.174644	320.791276
DEC_BOILER_GAS	74.608352	29.085076
DEC_BOILER_OIL	33.514266	25.948450
THERMAL_SOLAR	741.807191	100.000000
DEC_HEATER_ELEC	11.053220	0.578115
H2_ELECTROLYSIS	186.474246	58.272274
PYROLYSIS	164.492461	139.845253

Storage technology	C_inv [MCHF/y]	C_maint [MCHF/y]
HYDRO_STORAGE	0.000000	0.000000
P2G_STORAGE	227.322183	0.000000

Resource	C_op [MCHF/y]
GASOLINE	702.000000
DIESEL	73.260000
OIL	221.518736
NG	266.098783
NG_CCS	129.915892
WOOD	736.740000
URANIUM	560.382295
WASTE	0.000000
