Indicator	Value [MCHF/y]
CAPEX	6410.30
OPEX	4691.82
TOTEX	11102.12

Indicator	Value [ktCO2-eq/y]
GWP_construction	253.78
GWP_op	25746.22
GWP_total	26000.00
