Technology	GWP_construction [ktCO2-eq/y]
NUCLEAR	176.975000
CCGT_CCS	31.965281
PV	524.400000
WIND	165.055250
HYDRO_DAM_EXISTING	0.000000
HYDRO_DAM	18.623000
HYDRO_RIVER_EXISTING	0.000000
HYDRO_RIVER	26.838750
GEOTHERMAL_ELEC	115.010000
IND_BOILER_GAS	0.697053
IND_BOILER_OIL	0.568372
IND_BOILER_WASTE	0.042628
IND_HEATER_ELEC	0.060969
DHN_HP_ELEC	4.501300
DHN_BOILER_GAS	0.652667
DHN_GEOTHERMAL	21.043999
DEC_HP_ELEC	130.613534
DEC_BOILER_GAS	7.078375
DEC_BOILER_OIL	3.539187
THERMAL_SOLAR	110.600000
DEC_HEATER_ELEC	0.304271
H2_ELECTROLYSIS	0.024474
PYROLYSIS	0.000000

Storage technology	GWP_construction [ktCO2-eq/y]
HYDRO_STORAGE	0.000000
P2G_STORAGE	0.475560

Resource	GWP_op [ktCO2-eq/y]
GASOLINE	2730.000000
OIL	1103.063946
NG_CCS	1529.670455
WOOD	147.348000
URANIUM	803.221920
WASTE	20.043884
