Technology	C_inv [MCHF/y]	C_maint [MCHF/y]
NUCLEAR	2317.298057	1100.000000
CCGT_CCS	325.514028	131.304611
PV	1282.696583	285.000000
WIND	883.696670	174.900000
HYDRO_DAM_EXISTING	0.000000	195.051200
HYDRO_DAM	67.717942	1.271600
HYDRO_RIVER_EXISTING	0.000000	204.820000
HYDRO_RIVER	225.288389	64.855000
GEOTHERMAL_ELEC	420.879312	325.500000
IND_BOILER_GAS	4.682637	1.213892
IND_BOILER_OIL	3.818192	0.989799
IND_BOILER_WASTE	0.238333	0.061686
IND_HEATER_ELEC	18.408419	0.981604
DHN_HP_ELEC	13.940830	8.240367
DHN_BOILER_GAS	4.384465	1.136596
DHN_GEOTHERMAL	66.324437	46.911882
DEC_HP_ELEC	554.174644	320.791276
DEC_BOILER_GAS	74.608352	29.085076
DEC_BOILER_OIL	33.514266	25.948450
THERMAL_SOLAR	741.807191	100.000000
DEC_HEATER_ELEC	11.053220	0.578115
H2_ELECTROLYSIS	186.474246	58.272274
PYROLYSIS	164.492461	139.845253

Storage technology	C_inv [MCHF/y]	C_maint [MCHF/y]
HYDRO_STORAGE	0.000000	0.000000
P2G_STORAGE	699.219517	0.000000

Resource	C_op [MCHF/y]
GASOLINE	702.000000
OIL	249.078956
NG_CCS	2266.178453
WOOD	736.740000
URANIUM	602.416440
WASTE	0.000000
