Technology	C_inv [MCHF/y]	C_maint [MCHF/y]
CCGT_CCS	156.571889	63.157373
HYDRO_DAM_EXISTING	0.000000	195.051200
HYDRO_DAM	67.717942	1.271600
HYDRO_RIVER_EXISTING	0.000000	204.820000
IND_BOILER_OIL	3.818192	0.989799
IND_BOILER_COAL	2.135114	0.552612
IND_BOILER_WASTE	13.054947	3.378895
DEC_HP_ELEC	554.174644	320.791276
DEC_THERMAL_HP_GAS	77.077291	33.717477
DEC_BOILER_GAS	105.586089	41.161335
DEC_BOILER_OIL	33.514266	25.948450
H2_FROM_GAS	145.185290	59.178082
PYROLYSIS	164.492461	139.845253

Storage technology	C_inv [MCHF/y]	C_maint [MCHF/y]
HYDRO_STORAGE	0.000000	0.000000

Resource	C_op [MCHF/y]
ELECTRICITY	543.183598
GASOLINE	702.000000
OIL	249.078956
NG	1623.910946
NG_CCS	786.524283
WOOD	736.740000
COAL	49.695803
WASTE	0.000000
