Technology	GWP_construction [ktCO2-eq/y]
CCGT_CCS	46.722840
HYDRO_DAM_EXISTING	0.000000
HYDRO_DAM	18.623000
HYDRO_RIVER_EXISTING	0.000000
HYDRO_RIVER	26.838750
IND_BOILER_OIL	0.432706
IND_BOILER_WASTE	2.716895
IND_HEATER_ELEC	0.040558
DEC_HP_ELEC	130.613534
DEC_THERMAL_HP_GAS	63.683009
DEC_BOILER_GAS	7.078375
DEC_BOILER_OIL	3.539187
THERMAL_SOLAR	28.804548
DEC_HEATER_ELEC	0.135418
H2_ELECTROLYSIS	0.021140
PYROLYSIS	0.000000

Storage technology	GWP_construction [ktCO2-eq/y]
HYDRO_STORAGE	0.000000

Resource	GWP_op [ktCO2-eq/y]
GASOLINE	2730.000000
DIESEL	325.430784
OIL	954.981183
NG	6145.793174
NG_CCS	1674.265619
WOOD	147.348000
WASTE	1671.300000
